Dur (hr),x2yr,x5yr,x10yr,x25yr,x50yr,x100yr,x200yr,x500yr,x1000yr
x0.25hr,1.13,1.63,1.97,2.42,2.78,3.15,3.54,4.08,4.51
x0.5hr,0.768,1.11,1.34,1.65,1.89,2.14,2.41,2.78,3.07
x1hr,0.545,0.787,0.950,1.17,1.34,1.52,1.71,1.97,2.18
x2hr,0.394,0.572,0.690,0.846,0.966,1.09,1.22,1.40,1.54
x3hr,0.320,0.467,0.563,0.690,0.787,0.887,0.990,1.13,1.24
