Dur (hr),x2yr,x5yr,x10yr,x25yr,x50yr,x100yr,x200yr,x500yr,x1000yr
x0.25hr,1.36,1.97,2.40,3.06,3.60,4.18,4.84,5.84,6.70
x0.5hr,0.928,1.34,1.63,2.09,2.45,2.85,3.30,3.98,4.56
x1hr,0.657,0.952,1.16,1.48,1.74,2.02,2.34,2.82,3.24
x2hr,0.476,0.692,0.842,1.07,1.25,1.45,1.67,2.00,2.28
x3hr,0.386,0.564,0.687,0.873,1.02,1.18,1.36,1.62,1.84
