IM,probability
1.0,0.0
2.836734693877551,0.005
4.979591836734694,0.01
6.816326530612245,0.015
8.346938775510203,0.02
8.959183673469388,0.03
9.571428571428571,0.035
10.795918367346939,0.04
12.020408163265307,0.045
12.63265306122449,0.055
13.244897959183675,0.065
14.16326530612245,0.075
15.387755102040817,0.08
