IM,probability
2.2244897959183674,0.005
4.061224489795919,0.01
5.591836734693878,0.015
7.428571428571429,0.02
8.040816326530614,0.025
8.346938775510203,0.03
8.653061224489797,0.035
9.877551020408163,0.04
11.10204081632653,0.045
12.020408163265307,0.055
12.326530612244898,0.065
12.938775510204081,0.075
14.16326530612245,0.08
15.081632653061225,0.085
15.693877551020408,0.09
