Dur (hr),2yr,5yr,10yr,25yr,50yr,100yr,200yr,500yr,1000yr
x0.25hr,1.10,1.71,2.19,2.83,3.30,3.74,4.17,4.70,5.07
x0.50hr,0.668,1.04,1.34,1.72,2.01,2.28,2.54,2.86,3.09
x1hr,0.400,0.620,0.796,1.03,1.19,1.36,1.51,1.70,1.84
x2hr,0.256,0.374,0.468,0.593,0.686,0.776,0.863,0.973,1.05
x3hr,0.199,0.278,0.342,0.428,0.492,0.554,0.616,0.695,0.752
