100yr,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.005,
0.005,
0.005,
0.005,
0.005,
0.005,
0.02,
0.02,
0.025,
0.035,
0.045,
0.07,
0.08,
0.095,
0.12,
0.15,
0.195,
0.225,
0.25,
0.3,
0.345,
0.365,
0.42,
0.475,
0.515,
0.55,
0.61,
0.635,
0.68,
0.715,
0.765,
0.79,
