x25yr,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.005,
0.005,
0.01,
0.015,
0.02,
0.04,
0.045,
0.075,
0.08,
0.105,
0.17,
0.205,
0.26,
0.33,
0.365,
0.415,
0.475,
0.56,
0.63,
0.66,
0.705,
0.74,
0.785,
0.815,
0.85,
0.885,
0.915,
0.925,
0.94,
0.96,
