Dur (hr),2yr,5yr,10yr,25yr,50yr,100yr,200yr,500yr,1000yr
x0.25hr,	5.66, 6.86,	7.87, 9.44, 10.6, 12, 13.4, 15.2, 16.6
x0.50hr,	4.22, 5.13,	5.89, 7.07,	7.97, 8.97, 10, 11.4, 12.5
x1hr, 2.74, 3.32, 3.81, 4.58, 5.17, 5.82, 6.52, 7.44, 8.14
x2hr, 1.68, 2.03, 2.32, 2.8,	3.15, 3.55, 3.99, 4.56,	4.98
x3hr, 1.22, 1.48, 1.71, 2.08, 2.35, 2.67, 3.01, 3.47, 3.81
