duration,mu,sigma
x0.25hr,2.275825441364382,0.6138049792894302
x1hr,2.0392749111577433,0.7415111935342045
x2hr,2.1776916046965735,0.5172190992572783
x3hr,2.1921809757974198,0.5529452866054647
