x3hr,
0.005,
0.005,
0.005,
0.005,
0.005,
0.005,
0.01,
0.01,
0.015,
0.015,
0.015,
0.015,
0.015,
0.02,
0.02,
0.025,
0.03,
0.035,
0.04,
0.04,
0.04,
0.04,
0.045,
0.055,
0.065,
0.075,
0.075,
0.075,
0.08,
0.08,
0.08,
0.085,
0.09,
0.09,
0.095,
0.115,
0.13,
0.14,
0.16,
0.17,
0.185,
0.19,
0.195,
0.2,
0.215,
0.225,
0.24,
0.26,
0.26,
0.28,
