Dur (hr),2yr,5yr,10yr,25yr,50yr,100yr,200yr,500yr,1000yr
x0.25hr,1.20,1.62,1.88,2.23,2.48,2.74,3.00,3.34,3.59
x0.50hr,0.954,1.29,1.50,1.77,1.98,2.18,2.39,2.66,2.86
x1hr,0.709,0.957,1.12,1.32,1.47,1.62,1.77,1.97,2.12
x2hr,0.518,0.698,0.808,0.946,1.05,1.15,1.24,1.37,1.46
x3hr,0.424,0.569,0.658,0.769,0.849,0.926,1.00,1.10,1.17
