100yr,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.005,
0.005,
0.005,
0.005,
0.005,
0.005,
0.005,
0.005,
0.01,
0.015,
0.015,
0.015,
0.015,
0.02,
0.02,
0.02,
0.03,
0.035,
0.04,
0.04,
0.045,
0.06,
0.07,
0.075,
0.08,
0.08,
0.08,
0.085,
0.09,
0.095,
0.12,
0.13,
0.155,
0.17,
0.19,
0.19,
0.205,
0.215,
0.235,
0.265,
0.28,
0.3,
