x100yr,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.001,
0.001,
0.001,
0.002,
0.002,
0.003,
0.005,
0.007,
0.008,
0.011,
0.012,
0.013,
0.015,
0.016,
0.022,
0.026,
0.036,
0.044,
0.055,
0.063,
0.069,
0.083,
0.101,
0.119,
0.13,
0.163,
0.175,
0.202,
0.221,
