xnohr,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.005,
0.005,
0.005,
0.005,
0.005,
0.005,
0.005,
0.005,
0.01,
0.01,
0.015,
0.015,
0.015,
0.015,
0.015,
0.02,
0.02,
0.03,
0.035,
0.04,
0.04,
0.04,
0.045,
0.05,
0.065,
0.075,
0.075,
0.08,
0.08,
0.085,
0.09,
0.095,
0.105,
0.13,
0.155,
0.17,
0.185,
0.19,
0.2,
0.215,
0.24,
0.26,
0.27,
0.295,
0.32,
0.335,
0.34,
0.35,
0.365,
0.375,
0.38,
0.405,
0.455,
0.465,
0.475,
0.48,
0.505,
0.535,
0.56,
0.6,
0.61,
0.63,
0.645,
0.655,
0.655,
