Dur (hr),2yr,5yr,10yr,25yr,50yr,100yr,200yr,500yr,1000yr
x0.25hr,1.41,1.91,2.25,2.77,3.17,3.60,4.08,4.77,5.36
x0.50hr,1.12,1.52,1.79,2.21,2.53,2.87,3.25,3.80,4.27
x1hr,0.835,1.13,1.33,1.64,1.88,2.13,2.41,2.82,3.17
x2hr,0.610,0.824,0.964,1.18,1.34,1.51,1.69,1.96,2.17
x3hr,0.499,0.673,0.785,0.956,1.08,1.22,1.36,1.57,1.74
