500yr,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.005,
0.005,
0.005,
0.005,
0.005,
0.005,
0.005,
0.005,
0.01,
0.015,
0.015,
0.02,
0.02,
0.025,
0.025,
0.025,
0.04,
0.045,
0.06,
0.07,
0.08,
0.08,
0.085,
0.095,
0.1,
0.13,
0.13,
0.145,
0.17,
0.2,
0.21,
0.23,
0.25,
0.275,
