x0.25hr,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.005,
0.005,
0.015,
0.015,
0.015,
0.015,
0.015,
0.015,
0.015,
0.015,
0.055,
0.135,
0.74,
0.92,
0.965,
