IM,prob
1.9183673469387754,0.005
3.7551020408163267,0.01
5.285714285714286,0.015
7.122448979591837,0.02
7.73469387755102,0.03
8.346938775510203,0.035
9.571428571428571,0.04
10.795918367346939,0.045
11.10204081632653,0.05
11.408163265306122,0.055
11.714285714285715,0.065
12.63265306122449,0.075
13.857142857142858,0.08
14.775510204081632,0.085
15.387755102040817,0.09
16.0,0.095
