x0.50hr,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.005,
0.005,
0.005,
0.005,
0.005,
0.005,
0.005,
0.01,
0.01,
0.015,
0.015,
0.015,
0.015,
0.02,
0.02,
0.03,
0.035,
0.04,
0.04,
0.04,
0.045,
0.055,
0.075,
0.075,
0.08,
0.08,
0.085,
0.09,
0.095,
0.11,
0.13,
0.155,
0.17,
0.185,
0.195,
0.205,
0.22,
0.245,
0.26,
0.28,
0.315,
0.325,
0.34,
0.35,
0.355,
0.365,
0.38,
0.4,
0.42,
0.46,
0.475,
0.475,
0.49,
0.53,
0.56,
0.58,
0.605,
0.62,
0.64,
0.655,
0.655,
0.665,
0.665,
0.7,
0.71,
0.72,
0.73,
0.74,
0.76,
0.765,
0.775,
0.785,
0.805,
0.81,
0.83,
0.84,
0.845,
0.85,
