Dur (hr),Return Period (yr),,,,,,,,
,2,5,10,25,50,100,200,500,1000
1,0.644,0.945,1.16,1.48,1.74,2.02,2.34,2.82,3.24
2,0.467,0.686,0.836,1.07,1.25,1.45,1.67,1.99,2.28
3,0.38,0.559,0.682,0.868,1.01,1.18,1.35,1.62,1.84
6,0.264,0.391,0.477,0.608,0.711,0.822,0.945,1.13,1.28
12,0.164,0.247,0.302,0.387,0.453,0.525,0.603,0.721,0.82
24,0.1,0.152,0.188,0.241,0.282,0.327,0.376,0.449,0.51
