Dur (hr),2yr,5yr,10yr,25yr,50yr,100yr,200yr,500yr,1000yr
1,0.534,0.782,0.947,1.17,1.34,1.52,1.71,1.97,2.18
2,0.387,0.567,0.686,0.842,0.964,1.09,1.22,1.39,1.53
3,0.315,0.463,0.559,0.686,0.784,0.884,0.987,1.13,1.24
6,0.219,0.323,0.392,0.481,0.549,0.619,0.69,0.787,0.862
12,0.136,0.204,0.248,0.306,0.35,0.395,0.441,0.503,0.552
24,0.087,0.132,0.161,0.2,0.229,0.259,0.29,0.332,0.365
