x0.50hr,
0.0,
0.0,
0.0,
0.0,
0.005,
0.005,
0.005,
0.005,
0.005,
0.01,
0.015,
0.015,
0.015,
0.02,
0.03,
0.04,
0.04,
0.04,
0.055,
0.075,
0.075,
0.08,
0.085,
0.095,
0.115,
0.155,
0.18,
0.19,
0.21,
0.24,
0.26,
0.3,
0.325,
0.34,
0.355,
0.37,
0.395,
0.435,
0.47,
0.48,
0.52,
0.56,
0.6,
0.62,
0.645,
0.655,
0.665,
0.69,
0.715,
0.725,
0.74,
0.76,
0.775,
0.795,
0.81,
0.83,
0.845,
0.85,
0.875,
0.885,
0.91,
0.915,
0.92,
0.925,
0.93,
0.935,
0.945,
0.955,
0.96,
0.965,
0.965,
0.975,
0.985,
0.985,
0.99,
0.99,
0.99,
0.99,
0.99,
0.995,
0.995,
0.995,
0.995,
0.995,
0.995,
0.995,
0.995,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
1.0,
