Dur (hr),2yr,5yr,10yr,25yr,50yr,100yr,200yr,500yr,1000yr
x0.25hr,	1.29,2.05,2.68,3.54,4.20,4.88,5.66,6.78,7.70
x0.50hr,	0.784,1.25,1.63,2.16,2.56,2.97,3.45,4.13,4.69
x1hr, 0.468,0.743,0.971,1.28,1.52,1.77,2.05,2.46,2.79
x2hr, 0.296,0.442,0.562,0.730,0.860,1.000,1.16,1.39,1.58
x3hr, 0.227,0.324,0.406,0.520,0.610,0.707,0.820,0.986,1.13
