Dur (hr),2yr,5yr,10yr,25yr,50yr,100yr,200yr,500yr,1000yr
x0.25hr,2.05,2.95,3.69,4.91,5.84,6.89,8.06,9.68,10.9
x0.50hr,1.47,2.09,2.61,3.46,4.11,4.84,5.66,6.79,7.65
x1hr,0.913,1.29,1.61,2.14,2.54,3,3.51,4.23,4.78
x2hr,0.54,0.759,0.944,1.26,1.5,1.77,2.07,2.5,2.83
x3hr,0.386,0.54,0.671,0.895,1.06,1.26,1.48,1.79,2.03
