Dur (hr),2yr,5yr,10yr,25yr,50yr,100yr,200yr,500yr,1000yr
x0.25hr,1.61,2.31,2.88,3.7,4.36,5.06,5.8,6.83,7.65
x0.50hr,1.15,1.64,2.04,2.61,3.07,3.56,4.07,4.79,5.37
x1hr,0.716,1.01,1.26,1.61,1.9,2.2,2.52,2.98,3.35
x2hr,0.428,0.602,0.746,0.956,1.13,1.31,1.51,1.78,2.01
x3hr,0.309,0.431,0.534,0.684,0.808,0.941,1.08,1.29,1.45
