Dur (hr),2yr,5yr,10yr,25yr,50yr,100yr,200yr,500yr,1000yr
x0.25hr,1.37,1.96,2.35,2.96,3.43,3.94,4.51,5.35,6.06
x0.50hr,1.1,1.57,1.89,2.37,2.75,3.17,3.62,4.29,4.87
x1hr,0.823,1.17,1.41,1.77,2.05,2.36,2.7,3.2,3.63
x2hr,0.596,0.848,1.02,1.28,1.48,1.7,1.95,2.31,2.61
x3hr,0.487,0.694,0.832,1.05,1.21,1.39,1.59,1.88,2.13
