100yr,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.005,
0.005,
0.005,
0.005,
0.005,
0.005,
0.005,
0.01,
0.02,
0.02,
0.025,
0.03,
0.035,
0.04,
0.07,
0.075,
0.085,
0.09,
0.11,
0.135,
0.15,
0.19,
0.215,
0.245,
0.255,
0.3,
0.34,
