Dur (hr),2yr,5yr,10yr,25yr,50yr,100yr,200yr,500yr,1000yr
x0.25hr,1.17,1.66,1.97,2.38,2.69,3,3.31,3.74,4.07
x0.50hr,0.938,1.33,1.58,1.91,2.16,2.41,2.66,3,3.26
x1hr,0.699,0.993,1.18,1.42,1.61,1.8,1.98,2.24,2.44
x2hr,0.506,0.718,0.854,1.03,1.16,1.3,1.43,1.61,1.75
x3hr,0.414,0.587,0.698,0.841,0.948,1.06,1.17,1.31,1.43
