Dur (hr),2yr,5yr,10yr,25yr,50yr,100yr,200yr,500yr,1000yr
x0.25hr,4.56, 5.52, 6.3, 7.36, 8.17, 8.96, 9.75, 10.8, 11.5
x0.50hr, 3.4, 4.13,	4.72, 5.52, 6.13, 6.72, 7.32, 8.1, 8.68
x1hr, 2.21, 2.67, 3.05, 3.57, 3.97, 4.36, 4.75, 5.27, 5.66
x2hr, 1.36, 1.64, 1.87, 2.19, 2.44, 2.68, 2.92, 3.25, 3.49
x3hr, 0.996,	1.21, 1.38, 1.63, 1.82, 2.01, 2.21, 2.48,2.68
