x100yr,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.005,
0.005,
0.01,
0.015,
0.015,
0.03,
0.04,
0.055,
0.075,
0.085,
0.115,
0.17,
0.205,
0.26,
0.325,
0.355,
0.38,
0.47,
0.515,
0.6,
