Dur (hr),x2yr,x5yr,x10yr,x25yr,x50yr,x100yr,x200yr,x500yr,x1000yr
x0.25hr,1.42,2.08,2.54,3.27,3.86,4.53,5.28,6.42,7.42
x0.5hr,0.950,1.39,1.70,2.19,2.58,3.03,3.53,4.29,4.96
x1hr,0.644,0.945,1.16,1.48,1.74,2.02,2.34,2.82,3.24
x2hr,0.467,0.686,0.836,1.07,1.25,1.45,1.67,1.99,2.28
x3hr,0.38,0.559,0.682,0.868,1.01,1.18,1.35,1.62,1.84
x6hr,0.264,0.391,0.477,0.608,0.711,0.822,0.945,1.13,1.28
x12hr,0.164,0.247,0.302,0.387,0.453,0.525,0.603,0.721,0.82
x24hr,0.1,0.152,0.188,0.241,0.282,0.327,0.376,0.449,0.51
