500yr,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.005,
0.005,
0.005,
0.005,
0.005,
0.005,
0.005,
0.005,
0.005,
0.005,
0.01,
0.015,
0.015,
0.015,
0.02,
0.02,
0.02,
0.025,
0.025,
0.03,
0.035,
0.035,
0.05,
0.055,
0.065,
0.075,
0.075,
0.075,
0.085,
0.085,
0.09,
0.095,
0.105,
0.13,
0.13,
0.155,
0.18,
0.19,
0.2,
0.215,
0.23,
