Normalized Water Volume,Water Level,Legend
474.980000, 503.171295, Inelastic
477.520000, 505.004812, Inelastic
480.060000, 506.803641, Inelastic
482.600000, 508.550488, Inelastic
485.140000, 510.224057, Inelastic
487.680000, 511.697408, Inelastic
490.220000, 512.931291, Inelastic
492.760000, 513.999163, Inelastic
495.300000, 514.669297, Inelastic
497.840000, 514.971395, Inelastic
500.380000, 514.693023, Inelastic
502.920000, 513.324197, Inelastic
505.460000, 510.154936, Inelastic
508.000000, 501.717169, Inelastic
